12.10.2021;Liste over politisk eksponerede personer jf. hvidvasklovens § 18, stk. 7, jf. § 2, stk. 1, nr. 8, litra a-h;;;;;;;;;;;
;Navn;;Stillingsbetegnelse ;Fødselsdato;Tilføjet på PEP-listen (dato);Ny på PEP-listen (x);;;;;;
Statschef, regeringschef, minister og viceminister eller ass. minister, jf. § 2, stk. 1, nr. 8 litra a;;;;;;;;;;;;
;Andersen;Stig;Danske Spil A/S, bestyrelse;16.02.1960;29.12.2017;;;;;;;
;Christensen;Peter ;Danske Spil A/S, bestyrelsesformand ;23.04.1975;30.06.2020;;;;;;;
;Hansen-Hoeck;Karen Sofie;Danske Spil A/S, bestyrelse;28.10.1965;29.12.2017;;;;;;;
;Hesdorf;Nicolai ;Danske Spil A/S, bestyrelse;09.11.1974;22.04.2021;;;;;;;
;Hyldig;Malene;Danske Spil A/S, bestyrelse;28.02.1972;29.12.2017;;;;;;;
;Pedersen;Torben;Danske Spil A/S, bestyrelse;08.03.1967;05.05.2021;;;;;;;
;Nygaard;Niels;Danske Spil A/S, bestyrelse;27.01.1953;29.12.2017;;;;;;;
;Skjødt;Torben;Danske Spil A/S, bestyrelse;18.09.1965;18.07.2019;;;;;;;
;Thomassen;Charlotte Bach ;Danske Spil A/S, bestyrelse;20.06.1976;18.07.2019;;;;;;;
;Lyhne-Knudsen;Nikolas ;Danske Spil A/S, direktion;10.10.1976;19.10.2020;;;;;;;
;Rasmussen;Søren Skovdal ;Danske Spil A/S, direktion;21.06.1968;31.03.2020;;;;;;;
;Christensen;Peter;Det Danske Klasselotteri, bestyrelsesformand;23.04.1975;08.07.2021;;;;;;;
;Blauenfeldt;Anders;Det Danske Klasselotteri, bestyrelse;27.09.1972;29.12.2017;;;;;;;
;Jensen;Tore Pein;Det Danske Klasselotteri, bestyrelse;15.07.1975;29.12.2017;;;;;;;
;Knudsen;Pernille;Det Danske Klasselotteri, bestyrelse;03.12.1970;29.12.2017;;;;;;;
;Jørgensen;Anna Elisabeth Rask;Det Danske Klasselotteri, direktion;17.10.1955;29.12.2017;;;;;;;
;Schütze;Peter;DSB, bestyrelsesformand;30.10.1948;29.12.2017;;;;;;;
;Amsinck;Henrik;DSB, bestyrelsesmedlem;31.05.1961;29.12.2017;;;;;;;
;Bryan-Lund;Thomas ;DSB, bestyrelsesmedlem;04.09.1974;23.03.2020;;;;;;;
;Gerner;Carsten;DSB, bestyrelsesmedlem;18.12.1953;29.12.2017;;;;;;;
;Levy;Hanne Legardt Blume;DSB, bestyrelsesmedlem;19.09.1968;12.07.2018;;;;;;;
;Pedersen;Preben Steenholdt;DSB, bestyrelsesmedlem;20.01.1956;29.12.2017;;;;;;;
;Riis ;Lone ;DSB, bestyrelsesmedlem;23.09.1974;23.03.2020;;;;;;;
;Steffensen;Anne Hedensted;DSB, bestyrelsesmedlem;14.11.1963;01.07.2021;;;;;;;
;Sørensen;Christina Grumstrup;DSB, bestyrelsesmedlem;26.09.1972;29.12.2017;;;;;;;
;Jensen;Jens Flemming;DSB, administrerende direktør;01.02.1959;29.12.2017;;;;;;;
;Børner;Thomas Thellersen;DSB, direktion;25.03.1969;12.07.2018;;;;;;;
;Christensen ;Jan Sigurður ;DSB, direktion;24.06.1974;23.3.2020;;;;;;;
;Müller;Jürgen;DSB, direktion;05.06.1970;12.07.2018;;;;;;;
;Schrøder;Per Vilhelm;DSB, direktion;17.04.1957;12.07.2018;;;;;;;
;Frigast;Povl Christian Lütken;EKF Danmarks Eksportkredit, bestyrelsen;23.11.1951;29.12.2017;;;;;;;
;Hemphrey;Janne Bram ;EKF Danmarks Eksportkredit, bestyrelsen;25.10.1981;13.07.2020;;;;;;;
;Høholt;Jørgen;EKF Danmarks Eksportkredit, bestyrelsen;09.12.1958;10.07.2018;;;;;;;
;Jacobsen;Niels ;EKF Danmarks Eksportkredit, bestyrelsen;31.08.1957;13.07.2020;;;;;;;
;Jensen;Poul Due;EKF Danmarks Eksportkredit, bestyrelsen;19.11.1971;10.07.2018;;;;;;;
;Owie;Anna Marie Lunde Skov;EKF Danmarks Eksportkredit, bestyrelsen;18.11.1964;08.02.2018;;;;;;;
;Turunen;Emilie ;EKF Danmarks Eksportkredit, bestyrelsen;13.05.1984;13.07.2020;;;;;;;
;Vanglo;Dorrit;EKF Danmarks Eksportkredit, bestyrelsen;25.10.1956;29.12.2017;;;;;;;
;Wernberg ;Morten;EKF Danmarks Eksportkredit, bestyrelsen;22.06.1975;13.07.2020;;;;;;;
;Damkjær;Kirstine;EKF Danmarks Eksportkredit, direktion;07.06.1970;11.02.2019;;;;;;;
;Frigast;Povl Christian Lütken;Eksport Kredit Finansiering A/S, bestyrelsen;23.11.1951;08.02.2018;;;;;;;
;Vanglo;Dorrit;Eksport Kredit Finansiering A/S, bestyrelsen;25.10.1956;08.02.2018;;;;;;;
;Jensen;Poul Due;Eksport Kredit Finansiering A/S, bestyrelsen;19.11.1971;10.07.2018;;;;;;;
;Høholt;Jørgen;Eksport Kredit Finansiering A/S, bestyrelsen;09.12.1958;10.07.2018;;;;;;;
;Damkjær;Kirstine;Eksport Kredit Finansiering A/S, direktion;07.06.1970;11.02.2019;;;;;;;
;Bergh-Hansen;Niels;Energinet, bestyrelse;27.11.1948;29.12.2017;;;;;;;
;Clausen;Lars;Energinet, bestyrelse;04.05.1959;29.12.2017;;;;;;;
;Henriksen;Marianne Sørensen;Energinet, bestyrelse;29.09.1964;08.05.2018;;;;;;;
;Hvilshøj;Rikke;Energinet, bestyrelse;05.05.1970;07.09.2020;;;;;;;
;Høst;Louise;Energinet, bestyrelse;12.04.1977;07.09.2020;;;;;;;
;Ingstrup;Rasmus Thomsen;Energinet, bestyrelse;15.09.1984;08.10.2019;;;;;;;
;Lykketoft;Mogens;Energinet, bestyrelse;09.01.1946;07.09.2020;;;;;;;
;Nielsen;Berit Schilling;Energinet, bestyrelse;18.03.1965;16.08.2021;;;;;;;
;Rasmussen;Lasse Fagerlund Zinck;Energinet, bestyrelse;03.10.1990;16.08.2021;;;;;;;
;Sejbæk;Nana Bule;Energinet, bestyrelse;23.02.1978;08.05.2018;;;;;;;
;Sørensen;Søren Marinus;Energinet, bestyrelse;27.02.1964;08.05.2018;;;;;;;
;Egebo;Thomas Als;Energinet, direktion ;22.01.1962;01.05.2018;;;;;;;
;Bak;Ole Selch ;Finansiel Stabilitet, bestyrelse;26.11.1955;30.04.2020;;;;;;;
;Bang-Pedersen;Ulrik Rammeskow ;Finansiel Stabilitet, bestyrelse;21.08.1970;29.12.2017;;;;;;;
;Eberhard;Anne Louise;Finansiel Stabilitet, bestyrelse;24.04.1963;29.12.2017;;;;;;;
;Jensen;Peter Engberg;Finansiel Stabilitet, bestyrelse;06.04.1953;29.12.2017;;;;;;;
;Rangvid;Jesper;Finansiel Stabilitet, bestyrelse;26.05.1970;14.12.2020;;;;;;;
;Sommerfeldt;Morten Westergaard ;Finansiel Stabilitet, bestyrelse;02.07.1975;03.07.2020;;;;;;;
;Vastrup;Pernille Henriette;Finansiel Stabilitet, bestyrelse;03.11.1974;01.07.2021;;;;;;;
;Bjerre-Nielsen;Henrik;Finansiel Stabilitet, direktion;01.04.1955;29.12.2017;;;;;;;
;Andersen;John Schmidt;Fjordforbindelsen Frederikssund, bestyrelse;20.01.1959;29.12.2017;;;;;;;
;Friis;Helle;Fjordforbindelsen Frederikssund, bestyrelse;26.07.1960;29.12.2017;;;;;;;
;Stauning;Tina Tving;Fjordforbindelsen Frederikssund, bestyrelse;26.05.1960;29.12.2017;;;;;;;
;Tullberg;Leif;Fjordforbindelsen Frederikssund, bestyrelse;05.10.1945;29.12.2017;;;;;;;
;Wejlemann,;Christina;Fjordforbindelsen Frederikssund, bestyrelse;07.06.1972;12.05.2020;;;;;;;
;Rasmussen;Michael;IFU, bestyrelsesformand;13.11.1964;29.12.2017;;;;;;;
;Jepsen;Charlotte;IFU, bestyrelsesmedlem;11.04.1962;29.12.2017;;;;;;;
;Krausing;Jarl Eskil Sture;IFU, bestyrelsesmedlem;31.08.1966;22.09.2021;;;;;;;
;Mortensen;Irene Quist;IFU, bestyrelsesmedlem;12.05.1959;22.09.2021;;;;;;;
;Jakobsen;Hanna Line;IFU, bestyrelsesmedlem;17.03.1981;22.09.2021;;;;;;;
;Damm;Emilie Agner;IFU, bestyrelsesmedlem;14.04.1989;22.09.2021;;;;;;;
;Bustrup;Thomas;IFU, bestyrelsesmedlem;17.02.1971;22.09.2021;;;;;;;
;Sørensen;Bjarne;IFU, bestyrelsesmedlem;08.11.1947;29.12.2017;;;;;;;
;Hvidt;Nanna;IFU, bestyrelsesmedlem;05.05.1955;22.09.2021;;;;;;;
;Eberhard;Anette;IFU, næstformand;22.03.1961;22.09.2021;;;;;;;
;Huss;Torben;IFU, direktion;11.10.1962;10.07.2018;;;;;;;
;Krogsgaard;Lars ;IFU, direktion;27.11.1967;25.10.2019;;;;;;;
;Blum;Esben Jean-Pierre;Naviair, bestyrelse;30.08.1975;13.07.2020;;;;;;;
;Fich;Carsten;Naviair, direktion;23.01.1960;13.07.2020;;;;;;;
;Fleischer;Michael;Naviair, bestyrelse;22.02.1948;12.01.2018;;;;;;;
;Hansen;Flemming Kim;Naviair, bestyrelse;26.11.1959;12.01.2018;;;;;;;
;Jensen;Per Møller;Naviair, bestyrelse;24.07.1960;12.01.2018;;;;;;;
;Labusz;Peter;Naviair, bestyrelse;14.04.1988;13.07.2020;;;;;;;
;Lundholt;Anne Birgitte;Naviair, bestyrelse;11.06.1952;12.01.2018;;;;;;;
;Møller;Søren Stahlfest;Naviair, direktion;29.01.1965;13.07.2020;;;;;;;
;Rask;Birthe Høegh;Naviair, bestyrelse;11.12.1958;12.01.2018;;;;;;;
;Rasmussen;Christina;Naviair, bestyrelse;30.08.1967;12.01.2018;;;;;;;
;Andersen;Mads Bo Keis;Nordsøenheden, bestyrelse;25.04.1969;29.12.2017;;;;;;;
;Jensen ;Barbara Plucnar ;Nordsøenheden, bestyrelse;23.07.1971;13.07.2020;;;;;;;
;Jørgensen;Christian Herskind;Nordsøenheden, bestyrelse;19.10.1961;29.12.2017;;;;;;;
;Knudsen;Karsten Sivebæk;Nordsøenheden, bestyrelse;21.06.1953;29.12.2017;;;;;;;
;Larsen ;Henrik Sass ;Nordsøenheden, bestyrelse;29.05.1966;13.07.2020;;;;;;;
;Madsen;Birgitte Brinch;Nordsøenheden, bestyrelse;18.01.1963;29.12.2017;;;;;;;
;Normann;Henrik Michael;Nordsøenheden, bestyrelse;26.03.1953;29.12.2017;;;;;;;
;Jacobsen;Anna Birgitta Bergursdottir;Nordsøenheden, direktion;03.09.1974;29.12.2017;;;;;;;
;Carlsson;Måns;PostNord, bestyrelsesmedlem;14.12.1968;29.12.2017;;;;;;;
;Frigast;Christian;PostNord, bestyrelsesmedlem;23.11.1951;24.09.2019;;;;;;;
;Fröström;Bo;PostNord, bestyrelsesmedlem;08.11.1960;29.12.2017;;;;;;;
;Hundsbæk-Pedersen                ;Susanne            ;PostNord, bestyrelsesmedlem;05.11.1967        ;22.04.2020;;;;;;;
;Jansson;Christian ;PostNord, bestyrelsesmedlem;20.09.1949;24.09.2019;;;;;;;
;Lindholm;Johan;PostNord, bestyrelsesmedlem;21.01.1979;29.12.2017;;;;;;;
;Lundquist;Peder;PostNord, bestyrelsesmedlem;01.05.1970;29.12.2017;;;;;;;
;Messing;Ulrica;PostNord, bestyrelsesmedlem;31.01.1968;12.07.2018;;;;;;;
;Olsson;Sonat Burman;PostNord, bestyrelsesmedlem;21.11.1958;12.07.2018;;;;;;;
;Strand;Charlotte;PostNord, bestyrelsesmedlem;16.11.1961;12.07.2018;;;;;;;
;Svensk;Sandra;PostNord, bestyrelsesmedlem;22.05.1977;29.12.2017;;;;;;;
;Gardshol;Annemarie;PostNord, direktør;14.01.1967;24.09.2019;;;;;;;
;Carstensen;Hans J.;Statens Ejendomssalg A/S, bestyrelse;17.10.1965;29.12.2017;;;;;;;
;Jensen;Ane Arnth;Statens Ejendomssalg A/S, bestyrelse;20.02.1960;29.12.2017;;;;;;;
;Ljungdah;Line Køhler ;Statens Ejendomssalg A/S, bestyrelse;04.02.1978;15.02.2021;;;;;;;
;Rygaard;Bo;Statens Ejendomssalg A/S, bestyrelse;06.07.1965;29.12.2017;;;;;;;
;Søholt;Helle Lis;Statens Ejendomssalg A/S, bestyrelse;25.03.1972;12.07.2018;;;;;;;
;Jørgensen;Christina;Statens Ejendomssalg A/S, direktion;14.06.1965;14.06.2021;;;;;;;
;Rasmussen;Carsten;Statens Ejendomssalg A/S, direktion;12.05.1958;12.07.2018;;;;;;;
;Roslev;Christian;Statens og Kommunernes Indkøbsservice A/S, b.m.;25.08.1967;29.12.2017;;;;;;;
;Egebøl;Helene;Statens og Kommunernes Indkøbsservice A/S, b.m.;19.07.1971;29.12.2017;;;;;;;
;Madsen;Jens Hald;Statens og Kommunernes Indkøbsservice A/S, b.m.;16.03.1968;29.12.2017;;;;;;;
;Madsen;Signe Lynggaard;Statens og Kommunernes Indk., direktion;02.05.1974;29.12.2017;;;;;;;
;Svendsen-Tune;Lau;Statens og Kommunernes Indkøbsservice A/S, b.m.;09.04.1964;10.07.2018;;;;;;;
;Hamer;Michael Risvig;Statens og Kommunernes Indkøbsservice A/S, b.m.;28.03.1978;10.07.2018;;;;;;;
;Madsen;Anders Lisby;Statens og Kommunernes Indkøbsservice A/S, b.m.;18.10.1974;10.07.2018;;;;;;;
;Christophersen;Walter;Sund og Bælt Holding A/S, bestyrelse;12.06.1951;29.12.2017;;;;;;;
;Frederiksen;Peter;Sund og Bælt Holding A/S, bestyrelse;07.11.1963;29.12.2017;;;;;;;
;Hansen;Martin Duus;Sund og Bælt Holding A/S, bestyrelse;07.05.1964;29.12.2017;;;;;;;
;Jensen;Claus;Sund og Bælt Holding A/S, bestyrelse;30.04.1964;29.12.2017;;;;;;;
;Lange;Lene;Sund og Bælt Holding A/S, bestyrelse;09.07.1973;29.12.2017;;;;;;;
;Rohde;Jørn Tolstrup;Sund og Bælt Holding A/S, bestyrelse;20.04.1961;29.12.2017;;;;;;;
;Schade;Ruth;Sund og Bælt Holding A/S, bestyrelse;25.01.1951;29.12.2017;;;;;;;
;Villemoes;Jens;Sund og Bælt Holding A/S, bestyrelse;07.05.1979;29.12.2017;;;;;;;
;Würts;Christina Bendixen;Sund og Bælt Holding A/S, bestyrelse;13.08.1970;29.12.2017;;;;;;;
;Hemmingsen;Mikkel;Sund og Bælt Holding A/S, direktion;09.07.1970;29.12.2017;;;;;;;
;Breinholt;Thomas Michael Voigt ;TV2\Danmark A/S, bestyrelse;06.01.1964;14.05.2020;;;;;;;
;Haraldsson;Hermann;TV2\Danmark A/S, bestyrelse;09.01.1966;12.07.2018;;;;;;;
;Jäger;John;TV2\Danmark A/S, bestyrelse;05.04.1971;14.05.2020;;;;;;;
;Maymann;Jimmy;TV2\Danmark A/S, bestyrelsesformand;19.10.1971;12.07.2018;;;;;;;
;Foged;Bo;TV2\Danmark A/S, bestyrelse;21.04.1971;16.08.2021;;;;;;;
;Ravn;Henrik;TV2\Danmark A/S, bestyrelse;20.01.1963;12.07.2018;;;;;;;
;Hendriksen;Ane;TV2\Danmark A/S, bestyrelse;26.08.1961;16.08.2021;;;;;;;
;Søndberg;Astrid ;TV2\Danmark A/S, bestyrelse;05.08.1972;14.05.2020;;;;;;;
;Thomassen;Charlotte Bach ;TV2\Danmark A/S, bestyrelse;20.06.1976;14.05.2020;;;;;;;
;Christensen;Anne Engdal Stig ;TV2\Danmark A/S, direktion;31.08.1968;21.10.2019;;;;;;;
;Christensen;Jesper Højberg ;Vækstfonden, bestyrelse;08.01.1955;03.07.2020;;;;;;;
;Holst;Lars;Vækstfonden, bestyrelse;15.02.1952;29.12.2017;;;;;;;
;Lundberg;Kim ;Vækstfonden, bestyrelse ;14.02.1984;30.06.2020;;;;;;;
;Pedersen;Thor Möger ;Vækstfonden, bestyrelse;31.01.1985;03.07.2020;;;;;;;
;Pedersen ;Jacob Bratting ;Vækstfonden, bestyrelse ;04.04.1970;04.09.2018;;;;;;;
;Shur;Anne-Louise Thon ;Vækstfonden, bestyrelse;31.12.1970;03.07.2020;;;;;;;
;Valentin;Camilla Ley ;Vækstfonden, bestyrelse;20.04.1973;03.07.2020;;;;;;;
;Mantoni;Tue;Vækstfonden, bestyrelsesformand ;02.02.1975;10.07.2018;;;;;;;
;Kjærgaard;Rolf Hauge;Vækstfonden, direktion;09.03.1971;09.07.2019;;;;;;;
;Andersen;Thomas Thune;Ørsted A/S, bestyrelse;04.03.1955;29.12.2017;;;;;;;
;Armstrong;Lynda;Ørsted A/S, bestyrelse;18.06.1950;29.12.2017;;;;;;;
;Gøbel;Benny;Ørsted A/S, bestyrelse;01.08.1967;29.12.2017;;;;;;;
;Kildahl;Jørgen;Ørsted A/S, bestyrelse;13.02.1963;05.04.2018;;;;;;;
;King;Julia Elizabeth ;Ørsted A/S, bestyrelse;11.07.1954;01.03.2021;;;;;;;
;Korsholm;Peter;Ørsted A/S, bestyrelse;28.05.1971;29.12.2017;;;;;;;
;Henriksen;Ole;Ørsted A/S, bestyrelse;21.08.1972;01.09.2020;;;;;;;
;Poulsen ;Henrik ;Ørsted A/S, bestyrelse;10.09.1967;01.03.2021;;;;;;;
;Sandermann ;Daniel Tas ;Ørsted A/S, bestyrelse;06.03.1984;01.09.2020;;;;;;;
;Skole;Lene;Ørsted A/S, bestyrelse;28.04.1959;29.12.2017;;;;;;;
;Wemmer;Dieter Franz-Josef;Ørsted A/S, bestyrelse;27.02.1957;05.04.2018;;;;;;;
;Nipper ;Mads ;Ørsted A/S, direktion;02.03.1966;01.01.2021;;;;;;;
;Wiinholt;Marianne;Ørsted A/S, direktion;28.07.1965;26.08.2019;;;;;;;
;Neubert ;Martin ;Ørsted A/S, direktion;11.08.1973;04.02.2020;;;;;;;
;Pedersen;Torben Möger ;Danmarks Genopretningsfond A/S , bestyrelsesformand ;07.10.1955;08.01.2021;;;;;;;
;Philip;Marianne ;Danmarks Genopretningsfond A/S, næstformand;14.07.1957;08.01.2021;;;;;;;
;Schröder;Philipp Joachim Hans ;Danmarks Genopretningsfond A/S , bestyrelse;06.05.1969;08.01.2021;;;;;;;
;Stendevad;Poul Carsten ;Danmarks Genopretningsfond A/S , bestyrelse;15.03.1973;08.01.2021;;;;;;;
;Jensen;Jørgen Rugholm ;Danmarks Genopretningsfond A/S, bestyrelse og direktion (midlertidligt);19.03.1964;08.01.2021;;;;;;;
;Christensen;Per;Evida Holding A/S, bestyrelse;16.06.1957;14.01.2021;;;;;;;
;Dalsgaard;Thomas ;Evida Holding A/S, bestyrelse;13.02.1966;14.01.2021;;;;;;;
;Juhl;Susanne;Evida Holding A/S, bestyrelse;25.01.1971;14.01.2021;;;;;;;
Styrelser m.v.;Strand;Charlotte ;Evida Holding A/S, bestyrelsesformand;16.11.1961;14.01.2021;;;;;;;
Beskæftigelsesministeriets koncern;Kalør;Ole Michael ;Evida Holding A/S, direktion;27.08.1961;14.01.2021;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;Styr. for Arbejdsmarked og Rekruttering, direktør;;;;;;;;;
Social- og Indenrigsministeriets benchmarkingenhed;Kryhlmand;Søren;Arbejdstilsynet, direktør;02.04.1978;29.12.2017;;;;;;;
;Bohni;Steffen;Det Nati. Forskningscen. for Arbejdsmiljø, direktør;05.09.1972;02.08.2021;;;;;;;
;;;;;;;;;;;;
;Buse;Torben ;Bestyrelse;29.12.1968;23.06.2021;;;;;;;
;Iversen;Naja Warrer ;Bestyrelse;11.10.1978;23.06.2021;;;;;;;
;Juul;Thorkil ;Bestyrelse;25.01.1953;23.06.2021;;;;;;;
;Mandøe ;Morten ;Bestyrelse;12.08.1977;23.06.2021;;;;;;;
Social- og Indenrigsministeriets koncern;Sørensen;Rune Jørgen ;Bestyrelsesformand;03.08.1955;23.06.2021;;;;;;;
;Westergaard-Kabelmann;Thomas;Bestyrelse;12.01.1967;23.06.2021;;;;;;;
;;;;;;;;;;;;
;Lauritzen;Ellen Klarskov;Socialstyrelsen, direktør;13.10.1973;01.12.2020;;;;;;;
;Hummelshøj;Anette;Familieretshuset, direktør;21.06.1965;12.11.2018;;;;;;;
;Anker;Birgitte;Danmarks Statistik, rigsstatistiker;16.10.1963;01.12.2020;;;;;;;
Energi-, Forsynings- og Klimaministeriets koncern;Gade;Ingeborg;Ankestyrelsen, direktør;26.10.1967;29.12.2017;;;;;;;
;Jensen;Liselotte Skovgaard;VIVE, direktør;29.05.1963;12.07.2019;;;;;;;
;;;;;;;;;;;;
;Thyrring;Marianne;Danmarks Meteorologiske Institut, direktør;18.12.1959;29.12.2017;;;;;;;
;Larsen;Flemming;De Nationale Geologiske Undersøgelser for Danmark og Grønland, administrerende direktør;15.05.1957;29.12.2017;;;;;;;
;Böttzauw;Kristoffer;Energistyrelsen, direktør;25.06.1979;12.07.2018;;;;;;;
;Smidt;Carsten;Forsyningstilsynet, direktør;05.06.1970;12.07.2018;;;;;;;
Erhvervsministeriets koncern;Højgaard;Pia Stenstrup Dahl;Geodatastyrelsen, direktør;25.02.1962;29.12.2017;;;;;;;
;Møller;Kristian;Styrelsen for dataforsyning og effektivisering, direktør;22.11.1973;29.12.2017;;;;;;;
;;;;;;;;;;;;
;Winding;Katrine;Erhvervsstyrelsen, direktør;29.04.1972;29.12.2017;;;;;;;
;Storgaard;Peter Ejler;Finanstilsynet, bestyrelse;10.07.1974;09.09.2021;;;;;;;
;Andresen ;Svein ;Finanstilsynet, bestyrelse;07.08.1954;11.02.2019;;;;;;;
;Zachariasen;Martin Tvede;Finanstilsynet, bestyrelse;19.07.1967;02.08.2021;;;;;;;
;Bechmann ;Ken Lamdahl ;Finanstilsynet, bestyrelse;27.02.1970;23.09.2020;;;;;;;
;Biltoft;Karsten;Finanstilsynet, bestyrelse;20.11.1961;29.12.2017;;;;;;;
;Bock;Marianne Rørslev;Finanstilsynet, bestyrelse;11.09.1963;29.12.2017;;;;;;;
;Elholm ;Thomas ;Finanstilsynet, bestyrelse;15.07.1969;23.09.2020;;;;;;;
;Hansen;Preben Lund;Finanstilsynet, bestyrelse;21.01.1950;29.12.2017;;;;;;;
;Brüniche-Olsen ;Paul;Finanstilsynet, bestyrelse;22.02.1957;23.09.2020;;;;;;;
;Legind ;Nina Dietz ;Finanstilsynet, bestyrelsesformand;15.08.1967;01.07.2020;;;;;;;
;Berg;Jesper;Finanstilsynet, direktør;06.04.1959;29.12.2017;;;;;;;
;Hald;Jakob;Konkurrence- og Forbrugerstyrelsen, direktør;07.02.1964;29.12.2017;;;;;;;
;Heide-Jørgensen;Caroline;Konkurrencerådet, medlem;17.04.1967;29.12.2017;;;;;;;
;Jessen;Pernille Wegener;Konkurrencerådet, medlem;09.10.1969;29.12.2017;;;;;;;
;Krag;Vibeke;Konkurrencerådet, medlem;03.11.1962;29.12.2017;;;;;;;
;Ringberg;Torsten;Konkurrencerådet, medlem;04.05.1958;29.12.2017;;;;;;;
;Schröder;Philipp;Konkurrencerådet, medlem;06.05.1969;29.12.2017;;;;;;;
;Schultz;Christian;Konkurrencerådet, formand;17.06.1957;29.12.2017;;;;;;;
;Svensson;Jan-Erik;Konkurrencerådet, medlem;17.10.1949;29.12.2017;;;;;;;
;Lützen;Christian;Nævnenes Hus, direktør;07.10.1971;29.12.2017;;;;;;;
;Sørensen;Sune Stampe;Patent- og Varemærkestyrelsen, direktør;04.03.1974;29.12.2017;;;;;;;
Finansministeriets koncern;Saaby;Lone;Sikkerhedsstyrelsen, direktør;24.11.1967;29.12.2017;;;;;;;
;Nordseth;Andreas;Søfartsstyrelsen, direktør;11.03.1960;29.12.2017;;;;;;;
;;;;;;;;;;;;
;Vindum;Maria Schack;Økonomistyrelsen, direktør;21.04.1975;16.08.2021;;;;;;;
;Franck;Tanja;Digitaliseringsstyrelsen, direktør;25.06.1971;09.02.2021;;;;;;;
Forsvarsministeriets koncern;Nielsen;Trine ;Statens Administration, direktør;21.10.1976;11.02.2021;;;;;;;
;Ørnø;Michael;Statens IT, direktør;30.10.1964;29.12.2017;;;;;;;
;;;;;;;;;;;;
;Lentfer;Flemming;Forsvarskommandoen, chef ;01.03.1964;10.05.2021;;;;;;;
;Pedersen;Kenneth;Forsvarsstaben, chef;01.11.1968;04.08.2021;;;;;;;
;Garly;Jens Henning;Hjemmeværnskommandoen, Chef for Hjemmeværnet;14.12.1962;29.12.2017;;;;;;;
;Espersen;Søren Peder;Hjemmeværnskommandoen, Kommitteret for Hjemmeværnet;20.07.1953;12.07.2018;;;;;;;
;Reenberg;Laila;Beredskabsstyrelsen, direktør;20.08.1962;10.05.2021;;;;;;;
;Larsen;Svend Ulrik;Forsvarets Efterretningstjeneste, chef (fungerende);11.04.1964;04.08.2021;;;;;;;
;Jørgensen;Kim Jesper;Forsvarsministeriets Materiel- og Indkøbsstyrelse, direktør;14.08.1962;10.05.2021;;;;;;;
;Kjærgaard;Janni Torp;Forsvarsministeriets Personalestyrelse, direktør;10.10.1977;04.08.2021;;;;;;;
Justitsministeriets koncern;Pedersen;Anders Mærkedahl;Forsvarsministeriets Ejendomsstyrelse, direktør;12.02.1968;04.08.2021;;;;;;;
;Sørensen ;John;Forsvarsministeriets Regnskabsstyrelse, direktør ;14.02.1957;29.12.2017;;;;;;;
;;;;;;;;;;;;
;Roesen;Lene Volke;Civilstyrelsen, direktør;10.06.1970;02.10.2019;;;;;;;
;Andersen;Marianne;Domstolsstyrelsen, bestyrelsesmedlem;10.12.1966;29.12.2017;;;;;;;
;Schmidt;Hanne Hesselbjerg ;Domstolsstyrelsen, bestyrelsesformand;09.03.1960;21.02.2018;;;;;;;
;Poulsen;Randi Bach;Domstolsstyrelsen, bestyrelsesmedlem;03.04.1957;07.01.2019;;;;;;;
;Jensen;Dorte;Domstolsstyrelsen, bestyrelsesmedlem;11.05.1954;29.12.2017;;;;;;;
;Kengen;Kate;Domstolsstyrelsen, bestyrelsesmedlem;28.05.1952;29.12.2017;;;;;;;
;Madsen;Lisbeth Bügel ;Domstolsstyrelsen, bestyrelsesmedlem;06.08.1967;05.10.2018;;;;;;;
;Vuust;Tine;Domstolsstyrelsen, bestyrelsesmedlem;22.06.1964;07.01.2019;;;;;;;
;Kristiansen;Jens;Domstolsstyrelsen, bestyrelsesmedlem;10.02.1962;07.01.2019;;;;;;;
;Urskov;Peter Ulrik;Domstolsstyrelsen, bestyrelsens næstformand ;27.06.1965;29.12.2017;;;;;;;
;Jakobsen;Søren Sandfeld;Domstolsstyrelsen, bestyrelsesmedlem;26.07.1967;02.02.2018;;;;;;;
;Jensen;Anne Berg ;Domstolsstyrelsen, bestyrelsesmedlem;08.05.1969;01.01.2021;;;;;;;
;Hertz;Kristian;Domstolsstyrelsen, direktør;12.03.1978;14.06.2017;;;;;;;
;Gulisano;Cristina Angela;Datatilsynet, direktør;02.06.1972;29.12.2017;;;;;;;
;Fogde;Thorkild ;Rigspolitiet, Rigspolitichef ;18.07.1965;05.10.2020;;;;;;;
;Zilmer ;Lisbet ;Styrelsen for Forsyningssikkerhed, direktør ;14.08.1965;05.10.2020;;;;;;;
Kirkeministeriets koncern;Reckendorff ;Jan Frank ;Rigsadvokaten, Rigsadvokat ;19.08.1957;05.10.2020;;;;;;;
;Eliasen ;Ina;Direktoratet for Kriminalforsorgen, direktør ;02.08.1968;05.10.2020;;;;;;;
Kulturministeriets koncern;;;;;;;;;;;;
;Ingen styrelser etc.;;;;;;;;;;;
;;;;;;;;;;;;
Miljø- og Fødevareministeriet;Jensen;Anne-Sofie;Rigsarkivet, rigsarkivar;22.02.1972;07.01.2019;;;;;;;
;Hermansen;Jesper;Slots- og Kulturstyrelsen, direktør;04.03.1960;29.12.2017;;;;;;;
